conta_ID,ID,Data,Valor,Descrição,Categoria,
4563108796,20240129002,2024-01-29,-39.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20240229002,2024-02-29,-39.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20240401004,2024-04-01,-39.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20240429002,2024-04-29,-39.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20240529003,2024-05-29,-39.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20240701004,2024-07-01,-39.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20240729002,2024-07-29,-44.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20240829002,2024-08-29,-44.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20240930006,2024-09-30,-44.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20230424001,2023-04-24,-678.01,INT  PAG TIT BANCO 237,Geral,
4563108796,20230424002,2023-04-24,-183.24,INT  PAG TIT BANCO 237,Geral,
4563108796,20230424003,2023-04-24,-677.0,INT  PAG TIT BANCO 237,Geral,
4563108796,20230724001,2023-07-24,-513.23,INT PAG TIT 109000587260,Geral,
4563108796,20230524002,2023-05-24,-42.9,INT PM CABO FR 9999000,Impostos,
4563108796,20230524003,2023-05-24,-44.85,INT PM CABO FR 9999000,Impostos,
4563108796,20230524004,2023-05-24,-46.8,INT PM CABO FR 9999000,Impostos,
4563108796,20230524005,2023-05-24,-40.95,INT PM CABO FR 9999000,Impostos,
4563108796,20230302001,2023-03-02,-1.17,IOF,Impostos,
4563108796,20231003001,2023-10-03,-0.09,IOF,Impostos,
4563108796,20230103001,2023-01-03,-1.98,IOF,Impostos,
4563108796,20230802001,2023-08-02,-0.32,IOF,Impostos,
4563108796,20230404001,2023-04-04,-0.63,IOF,Impostos,
4563108796,20230503001,2023-05-03,-5.84,IOF,Impostos,
4563108796,20230202001,2023-02-02,-2.36,IOF,Impostos,
4563108796,20240202001,2024-02-02,-0.22,IOF,Impostos,
4563108796,20240503002,2024-05-03,-0.05,IOF,Impostos,
4563108796,20240604002,2024-06-04,-2.14,IOF,Impostos,
4563108796,20240903003,2024-09-03,-0.66,IOF,Impostos,
4563108796,20230911002,2023-09-11,-1203.48,ITAU MC       5502 4257,Cartão,
4563108796,20231009006,2023-10-09,-1069.47,ITAU MC       5502 4257,Cartão,
4563108796,20230710002,2023-07-10,-1422.55,ITAU MC       5502 4257,Cartão,
4563108796,20231109003,2023-11-09,-1537.25,ITAU MC       5502 4257,Cartão,
4563108796,20230809001,2023-08-09,-809.74,ITAU MC       5502 4257,Cartão,
4563108796,20230609001,2023-06-09,-1692.24,ITAU MC       5502 4257,Cartão,
4563108796,20231211004,2023-12-11,-1761.33,ITAU MC       5502 4257,Cartão,
4563108796,20240109001,2024-01-09,-1662.58,ITAU MC       5502 4257,Cartão,
4563108796,20240209003,2024-02-09,-1449.25,ITAU MC       5502 4257,Cartão,
4563108796,20240311004,2024-03-11,-1419.25,ITAU MC       5502 4257,Cartão,
4563108796,20240409002,2024-04-09,-1469.75,ITAU MC       5502 4257,Cartão,
